employee_id,gender,ethnicity,age,disability_status,lgbtq_status,minority_status,veteran_status,division,manager,hire_year,performance_rating,salary,attrition
71,Female,White,42,,,,,IT,No,2021,2.71,42641.6,False
72,Female,White,38,,,,,Operations,No,2021,3.66,45262.13,False
73,Male,White,26,,,,,Sales,No,2020,3.44,59881.53,False
74,Female,White,30,,,,,HR,No,2021,3.04,58920.25,False
75,Male,White,35,,,,,Sales,No,2020,3.12,78846.31,False
76,Male,White,27,,,,,Sales,No,2021,4.06,71761.56,False
77,Male,White,30,,,,,Operations,No,2023,3.09,58755.27,False
78,Female,White,43,,,,,Sales,No,2023,3.43,57960.24,False
79,Male,White,43,,,,,IT,No,2022,5.0,60214.06,True
80,Male,White,48,,,,,Sales,No,2023,2.36,51280.19,True
81,Other,Asian,45,,,,,Finance,No,2022,2.02,46512.5,False
82,Male,White,33,,,,,Sales,Yes,2023,4.13,80418.26,False
83,Female,White,35,,,,,Sales,No,2020,2.96,34571.32,False
84,Male,White,31,,,,,Sales,No,2023,3.25,89260.38,False
85,Female,White,27,,,,,Operations,No,2022,2.88,55066.68,False
86,Male,White,26,,,,,HR,No,2022,3.29,53412.37,False
87,Male,White,36,,,,,Sales,No,2021,4.78,76096.39,True
88,Male,Asian,42,,,,,Sales,No,2020,4.14,78550.42,False
89,Male,White,45,,,,,Sales,No,2023,4.19,81764.49,False
90,Male,White,38,,,,,Operations,No,2021,2.37,72527.78,False
91,Male,Latin,53,,,,,HR,No,2023,2.58,81302.95,False
92,Female,White,54,,,,,Sales,No,2023,1.23,36112.33,True
93,Female,White,27,,,,,Operations,No,2021,2.85,52598.74,False
94,Female,Prefer not to say,35,,,,,Sales,No,2021,4.27,47225.85,True
95,Non-binary/non-conforming,White,45,,,,,IT,No,2021,3.91,83369.58,True
96,Male,White,30,,,,,Sales,Yes,2021,3.32,59247.83,False
97,Prefer not to say,White,26,,,,,HR,No,2021,3.48,77681.1,False
98,Prefer not to say,Asian,28,,,,,Finance,No,2023,2.95,65734.07,True
99,Male,Prefer not to say,33,,,,,IT,No,2021,3.66,52065.4,False
100,Prefer not to say,Middle Eastern,46,,,,,Sales,No,2020,4.11,56195.63,False
101,Male,White,43,,,,,Sales,No,2022,2.21,84407.27,False
102,Female,White,30,,,,,Sales,No,2021,3.74,49098.34,False
103,Female,White,26,,,,,Marketing,No,2021,4.25,61523.17,False
104,Male,White,58,,,,,IT,No,2023,3.17,53261.88,False
105,Male,Asian,25,,,,,Sales,No,2021,4.06,54261.65,False
106,Male,Black,29,,,,,Marketing,No,2021,5.0,57876.81,False
107,Male,Black,64,,,,,Sales,No,2021,3.42,47931.3,True
108,Female,White,32,,,,,Marketing,No,2023,3.81,46545.83,False
109,Male,White,57,,,,,HR,No,2021,2.91,69294.1,False
110,Male,White,28,,,,,Operations,Yes,2022,3.65,52328.94,False
111,Male,White,54,,,,,IT,No,2023,3.87,52840.14,False
112,Male,White,30,,,,,HR,No,2022,3.66,50914.2,False
113,Female,Prefer not to say,39,,,,,Marketing,No,2023,2.68,58724.87,False
114,Male,White,46,,,,,HR,No,2021,3.67,79155.52,False
115,Male,White,42,,,,,Sales,No,2022,4.67,87597.93,False
116,Male,White,41,,,,,Sales,No,2023,3.86,54111.23,False
117,Female,Black,29,,,,,Sales,No,2020,4.27,80526.86,False
118,Female,White,35,,,,,Sales,No,2021,3.31,45935.07,False
119,Female,White,32,,,,,Sales,No,2023,4.1,74752.97,False
120,Male,White,44,,,,,HR,No,2020,3.72,54174.55,False
121,Male,White,49,,,,,Finance,No,2023,2.74,51936.15,False
122,Male,White,42,,,,,Marketing,No,2020,3.75,53828.66,False
123,Male,White,36,,,,,Sales,No,2021,2.71,64213.28,False
124,Male,White,58,,,,,Operations,No,2022,2.99,73699.58,False
125,Male,White,47,,,,,Sales,No,2020,3.65,75048.02,False
126,Female,White,65,,,,,RD,Yes,2023,3.74,46773.01,True
127,Male,White,60,,,,,Finance,No,2021,2.55,50155.11,True
128,Male,White,33,,,,,Sales,No,2020,4.34,51250.42,False
129,Male,White,27,,,,,Operations,No,2023,3.96,63329.68,False
130,Male,Asian,50,,,,,IT,No,2023,2.94,55662.9,False
131,Female,White,52,,,,,IT,No,2023,2.27,46687.58,False
132,Female,Latin,25,,,,,Sales,No,2020,3.38,63520.53,False
133,Female,White,26,,,,,Operations,Yes,2020,3.14,91023.45,False
134,Male,White,44,,,,,HR,No,2020,3.59,57429.27,False
135,Male,White,53,,,,,IT,No,2022,3.21,58497.32,False
136,Male,White,27,,,,,IT,No,2020,1.89,73394.92,False
137,Male,White,38,,,,,Operations,No,2020,3.19,56617.76,False
138,Female,White,31,,,,,Marketing,No,2020,3.26,69031.71,False
139,Male,White,54,,,,,IT,No,2022,4.01,54221.86,False
140,Male,Black,41,,,,,HR,Yes,2020,2.94,83233.61,False
141,Male,White,35,,,,,Sales,No,2023,4.84,70171.62,False
142,Male,White,28,,,,,Sales,No,2020,1.97,55699.66,False
143,Male,Asian,39,,,,,Marketing,No,2023,4.55,50552.66,False
144,Female,Black,50,,,,,Operations,No,2023,3.32,47438.61,False
145,Male,Black,26,,,,,Sales,No,2023,4.19,77032.12,False
146,Female,White,34,,,,,IT,No,2022,3.56,42291.24,False
147,Male,White,62,,,,,Sales,No,2022,4.41,54980.87,False
148,Female,White,29,,,,,Sales,No,2022,3.19,52049.08,True
149,Female,White,33,,,,,IT,No,2020,2.62,59583.51,False
150,Male,Asian,33,,,,,Operations,No,2023,4.64,54840.02,False
151,Female,White,48,,,,,Marketing,No,2022,3.41,39221.06,False
152,Male,Black,35,,,,,Operations,No,2022,3.68,53102.39,False
153,Male,White,44,,,,,Finance,No,2020,4.49,63506.74,True
154,Male,Middle Eastern,33,,,,,Finance,No,2022,2.67,55578.53,True
155,Female,Black,29,,,,,Finance,No,2020,3.98,62349.75,False
156,Female,White,45,,,,,RD,No,2021,3.03,72487.84,False
157,Male,White,38,,,,,Marketing,Yes,2022,3.39,63824.2,False
158,Male,White,27,,,,,Finance,No,2021,3.56,68458.12,False
159,Male,White,40,,,,,IT,No,2020,2.3,32584.16,False
160,Male,White,26,,,,,Sales,No,2023,2.88,58683.46,False
161,Female,White,48,,,,,HR,No,2022,4.58,73666.54,False
162,Male,White,29,,,,,Operations,No,2020,4.21,58648.45,False
163,Male,White,45,,,,,Sales,No,2023,3.45,53941.07,False
164,Male,White,44,,,,,Operations,Yes,2023,3.69,99165.33,False
165,Female,Asian,32,,,,,Sales,No,2021,3.26,76412.94,False
166,Male,Asian,38,,,,,IT,No,2020,4.59,64812.26,False
167,Male,White,48,,,,,IT,No,2023,3.34,82083.66,True
168,Prefer not to say,White,35,,,,,Marketing,Yes,2022,3.69,31610.97,False
169,Male,White,29,,,,,RD,No,2022,4.42,53186.73,False
170,Male,White,30,,,,,IT,No,2021,2.88,57950.63,True
171,Male,White,32,,,,,Marketing,No,2023,4.75,61460.3,True
172,Male,White,42,,,,,IT,No,2020,2.28,57650.84,False
173,Male,White,40,,,,,RD,No,2022,4.8,26749.61,False
174,Male,White,34,,,,,Finance,No,2023,3.2,70790.37,False
175,Male,White,29,,,,,Sales,No,2023,3.31,73154.81,False
176,Male,Latin,26,,,,,HR,No,2021,1.99,89028.48,False
177,Female,White,28,,,,,Sales,No,2022,3.14,48921.33,False
178,Male,White,32,,,,,Sales,No,2022,2.67,51947.55,True
179,Male,White,44,,,,,Marketing,No,2020,3.01,24800.23,False
180,Female,White,27,,,,,Sales,No,2022,3.39,55748.78,False
181,Male,White,41,,,,,IT,No,2020,4.27,78516.68,False
182,Female,White,55,,,,,IT,No,2022,3.67,51357.6,False
183,Male,Asian,31,,,,,IT,No,2021,3.75,87436.51,True
184,Non-binary/non-conforming,Asian,43,,,,,IT,No,2022,2.62,55035.97,True
185,Female,Asian,36,,,,,Marketing,No,2020,2.8,55645.64,False
186,Male,White,27,,,,,IT,No,2020,4.94,44553.45,False
187,Female,White,33,,,,,Sales,No,2021,2.91,63763.64,False
188,Prefer not to say,White,50,,,,,Finance,No,2022,4.82,35310.2,False
189,Male,White,36,,,,,Operations,Yes,2022,3.31,75405.47,False
190,Female,White,40,,,,,Operations,No,2021,3.5,69797.11,False
191,Female,Black,42,,,,,IT,Yes,2022,4.36,70702.4,False
192,Female,White,28,,,,,IT,No,2022,4.52,45724.43,True
193,Female,White,47,,,,,Sales,No,2020,3.41,62015.76,True
194,Prefer not to say,White,42,,,,,Finance,No,2022,3.19,73457.25,False
195,Male,White,53,,,,,HR,No,2022,3.46,71634.22,False
196,Male,Asian,43,,,,,Sales,No,2021,3.77,46818.46,False
197,Female,White,38,,,,,HR,No,2021,4.21,26790.65,False
198,Male,White,38,,,,,Operations,No,2023,3.5,70204.4,False
199,Male,White,26,,,,,Sales,No,2020,4.0,62712.5,False
200,Male,White,35,,,,,Sales,No,2022,4.81,56499.94,True
201,Female,White,32,,,,,HR,No,2022,3.81,70342.45,False
202,Female,White,29,,,,,Marketing,No,2023,3.75,59180.11,False
203,Male,White,39,,,,,Sales,No,2022,2.28,45212.07,False
204,Male,Asian,43,,,,,Operations,Yes,2020,1.4,32425.39,False
205,Female,Latin,62,,,,,Marketing,No,2023,3.81,44220.31,False
206,Male,White,41,,,,,Finance,No,2020,3.42,100895.18,False
207,Female,Middle Eastern,37,,,,,Operations,No,2023,3.09,69774.32,False
208,Non-binary/non-conforming,Asian,45,,,,,HR,No,2023,3.69,61046.27,False
209,Male,Asian,33,,,,,Finance,No,2021,3.45,56047.58,False
210,Male,White,40,,,,,RD,No,2020,4.4,61289.11,False
211,Female,White,53,,,,,IT,No,2022,3.57,75907.3,False
212,Male,White,28,,,,,Sales,No,2022,2.9,57641.06,False
213,Female,White,39,,,,,Marketing,No,2020,4.29,67761.5,False
214,Male,White,65,,,,,IT,No,2022,3.33,59773.58,False
215,Prefer not to say,Asian,38,,,,,Operations,No,2022,3.92,84692.11,False
216,Male,White,39,,,,,Sales,No,2020,3.12,76134.33,False
217,Female,White,62,,,,,Finance,No,2023,2.98,76988.68,False
218,Female,White,50,,,,,Finance,No,2020,3.57,51735.15,False
219,Female,White,26,,,,,HR,No,2023,3.51,74402.28,True
220,Female,White,36,,,,,Sales,No,2022,3.88,55486.43,False
221,Female,White,40,,,,,Sales,No,2022,3.29,61318.48,False
222,Female,White,40,,,,,HR,No,2022,2.03,82363.66,False
223,Female,White,28,,,,,IT,No,2021,3.15,45409.7,False
224,Male,White,40,,,,,Finance,No,2023,4.14,68048.72,False
225,Male,White,29,,,,,Sales,No,2021,3.26,71570.08,False
226,Male,Black,25,,,,,Operations,No,2021,3.3,65520.06,True
227,Female,Latin,33,,,,,Marketing,No,2020,4.29,53579.17,False
228,Male,Other,55,,,,,Operations,No,2021,2.93,96293.96,False
229,Male,Middle Eastern,47,,,,,IT,No,2020,2.27,45576.02,False
230,Male,White,43,,,,,Finance,No,2020,3.37,86883.28,False
231,Male,White,49,,,,,IT,No,2021,3.11,83225.98,False
232,Female,White,44,,,,,Marketing,No,2023,2.73,86032.27,False
233,Male,Middle Eastern,63,,,,,Sales,No,2023,3.36,41176.59,False
234,Male,Asian,32,,,,,IT,No,2023,3.89,46770.77,False
235,Male,White,27,,,,,Sales,No,2023,3.49,87379.15,False
236,Male,White,37,,,,,Sales,No,2023,3.75,36844.41,False
237,Male,White,63,,,,,Sales,No,2021,4.95,40903.12,False
238,Female,Asian,44,,,,,Sales,No,2021,3.23,47755.22,False
239,Female,Latin,32,,,,,Finance,Yes,2022,3.72,62449.51,False
240,Female,White,33,,,,,HR,No,2023,3.09,81772.71,False
241,Male,Prefer not to say,29,,,,,Operations,No,2021,2.82,62221.01,True
242,Female,White,44,,,,,Marketing,No,2022,3.03,51406.3,False
243,Male,Asian,40,,,,,Sales,No,2023,3.12,62703.76,False
244,Female,White,28,,,,,IT,No,2020,3.79,66280.43,False
245,Male,White,28,,,,,IT,No,2022,5.0,71618.6,False
246,Female,White,39,,,,,Operations,No,2021,2.93,57343.79,False
247,Female,White,35,,,,,Sales,No,2020,3.17,32819.81,False
248,Male,Black,47,,,,,Finance,Yes,2020,3.45,46112.18,False
249,Male,White,47,,,,,Sales,No,2020,3.82,86304.07,False
250,Male,Asian,45,,,,,HR,Yes,2022,3.71,61025.43,False
251,Prefer not to say,Asian,47,,,,,Sales,No,2021,4.53,54145.95,False
252,Male,White,40,,,,,Sales,No,2020,1.56,81772.53,False
253,Male,White,51,,,,,Finance,No,2023,1.59,48048.25,False
254,Other,Asian,57,,,,,Sales,No,2020,3.1,55457.8,False
255,Male,White,63,,,,,Sales,No,2020,4.38,67066.38,False
256,Female,Middle Eastern,30,,,,,IT,No,2022,2.25,53708.99,False
257,Male,White,30,,,,,Finance,No,2022,1.09,66511.44,False
258,Male,White,38,,,,,Marketing,Yes,2021,3.96,62184.59,False
259,Female,White,41,,,,,IT,No,2023,3.69,40489.07,False
260,Male,White,41,,,,,Finance,No,2022,2.63,67722.17,False
261,Female,Asian,32,,,,,Operations,No,2020,2.71,37321.87,False
262,Female,Asian,39,,,,,HR,No,2021,2.72,55876.94,False
263,Female,White,31,,,,,Operations,No,2020,3.59,78763.07,False
264,Male,White,29,,,,,Operations,No,2020,3.0,60784.65,True
265,Female,White,28,,,,,Finance,No,2022,3.9,43633.53,False
266,Female,Asian,45,,,,,HR,No,2021,1.22,52242.81,False
267,Female,Other,44,,,,,Finance,No,2023,2.81,48318.8,False
268,Prefer not to say,White,36,,,,,Finance,No,2023,2.6,73917.64,False
269,Female,White,31,,,,,IT,No,2022,3.29,57757.76,False
270,Female,Asian,33,,,,,Sales,No,2022,3.07,75055.26,True
271,Female,Asian,30,,,,,IT,No,2021,4.14,68264.33,True
272,Male,White,56,,,,,IT,No,2023,2.01,62703.79,False
273,Transgender,White,41,,,,,RD,No,2023,3.54,75734.14,False
274,Male,White,44,,,,,IT,No,2023,3.95,59101.45,True
275,Female,White,28,,,,,HR,No,2020,4.99,60268.61,True
276,Male,White,43,,,,,Sales,No,2023,3.11,59578.49,False
277,Female,White,30,,,,,Marketing,No,2020,3.76,70377.09,True
278,Male,White,38,,,,,Operations,No,2021,2.06,86494.82,False
279,Male,White,54,,,,,Operations,No,2020,1.59,76979.72,False
280,Male,White,42,,,,,Sales,No,2021,4.18,78829.05,False
281,Female,White,40,,,,,Sales,No,2023,3.5,72537.86,False
282,Male,Asian,45,,,,,Marketing,No,2023,4.44,65941.95,False
283,Male,White,34,,,,,Sales,Yes,2021,2.4,47910.71,True
284,Prefer not to say,Latin,56,,,,,Operations,No,2022,3.92,90514.57,False
285,Male,White,29,,,,,Marketing,Yes,2021,5.0,92066.16,False
286,Male,Asian,45,,,,,Operations,No,2022,3.84,55342.63,False
287,Male,White,37,,,,,Finance,No,2020,3.72,59439.53,False
288,Female,Asian,45,,,,,Finance,Yes,2020,3.51,61426.15,False
289,Male,White,41,,,,,Sales,No,2020,2.24,73262.19,False
290,Male,White,32,,,,,Finance,No,2023,4.58,61970.81,False
291,Male,White,61,,,,,Finance,No,2020,3.01,46249.62,False
292,Male,White,40,,,,,IT,No,2022,3.9,69585.52,False
293,Male,White,31,,,,,Sales,No,2020,2.25,73271.55,False
294,Male,White,49,,,,,Finance,Yes,2021,2.56,75887.32,False
295,Female,White,60,,,,,RD,No,2021,4.65,64620.24,True
296,Female,Black,42,,,,,Sales,No,2023,3.22,50452.75,False
297,Transgender,White,33,,,,,Operations,Yes,2021,4.66,79910.03,True
298,Male,White,42,,,,,Marketing,No,2022,3.44,65987.73,False
299,Male,White,41,,,,,IT,Yes,2020,2.03,58026.15,False
300,Male,White,32,,,,,Operations,No,2023,4.21,62290.2,False
301,Male,Prefer not to say,44,,,,,Marketing,No,2020,3.03,38810.46,False
302,Female,Middle Eastern,26,,,,,IT,No,2020,4.06,57285.06,False
303,Male,Asian,51,,,,,HR,No,2022,3.52,67793.89,True
304,Female,White,64,,,,,Sales,Yes,2021,2.27,64489.01,True
305,Prefer not to say,White,29,,,,,Sales,No,2021,3.63,87809.96,False
306,Male,White,37,,,,,HR,No,2020,5.0,61055.38,True
307,Male,White,42,,,,,Marketing,No,2023,3.89,72309.7,False
308,Male,White,43,,,,,Sales,No,2021,3.45,76891.1,False
309,Male,Asian,57,,,,,Operations,No,2023,4.36,90128.57,False
310,Male,Asian,44,,,,,Marketing,No,2021,3.67,60454.33,False
311,Male,White,36,,,,,Finance,No,2023,3.67,49337.19,False
312,Female,Middle Eastern,42,,,,,HR,No,2022,2.63,71501.42,False
313,Female,White,34,,,,,IT,No,2023,3.69,85547.04,False
314,Male,White,40,,,,,IT,No,2022,4.33,60161.77,True
315,Female,Black,32,,,,,RD,No,2022,2.83,64266.23,True
316,Female,White,49,,,,,IT,No,2023,4.64,76756.45,True
317,Male,White,29,,,,,Sales,No,2022,3.43,80255.98,False
318,Male,White,29,,,,,Finance,No,2020,2.79,66883.38,False
319,Female,White,38,,,,,Sales,No,2022,4.3,50161.06,False
320,Female,White,41,,,,,Operations,No,2021,3.27,58678.34,False
321,Female,Other,37,,,,,Finance,No,2023,4.11,66128.69,False
322,Female,Asian,57,,,,,Finance,No,2020,3.27,65100.12,False
323,Female,Asian,25,,,,,IT,No,2023,3.45,57967.6,False
324,Male,Asian,31,,,,,IT,No,2021,3.89,53371.24,True
325,Male,White,26,,,,,Marketing,No,2021,3.73,73330.69,False
326,Male,Asian,37,,,,,IT,Yes,2021,1.9,70111.15,True
327,Male,White,53,,,,,Operations,No,2022,2.6,70694.15,False
328,Female,Asian,31,,,,,HR,No,2022,4.24,43434.56,False
329,Female,Asian,29,,,,,Sales,No,2023,3.39,51566.94,False
330,Male,Asian,30,,,,,HR,No,2023,3.08,71295.58,False
331,Other,Black,65,,,,,HR,No,2020,2.41,39829.26,True
332,Male,Asian,34,,,,,Finance,No,2020,2.64,30242.1,False
333,Male,White,33,,,,,IT,Yes,2023,1.88,87621.24,False
334,Male,White,52,,,,,IT,No,2022,3.42,72671.23,False
335,Male,White,31,,,,,IT,No,2021,3.02,74100.95,False
336,Male,White,47,,,,,Sales,No,2023,2.73,48847.75,False
337,Male,White,28,,,,,Marketing,No,2020,3.45,76062.92,True
338,Male,White,31,,,,,HR,No,2022,3.79,69128.73,False
339,Male,White,25,,,,,HR,No,2023,5.0,41235.09,False
340,Male,White,38,,,,,Sales,No,2023,2.29,86364.25,False
341,Male,White,27,,,,,Sales,No,2022,4.43,67380.25,False
342,Male,Asian,40,,,,,Marketing,No,2023,4.28,53152.87,False
343,Female,White,38,,,,,IT,No,2022,2.88,54583.74,False
344,Male,White,32,,,,,HR,No,2021,3.66,34771.67,False
345,Male,Asian,39,,,,,Finance,No,2022,3.13,66510.04,False
346,Female,White,34,,,,,Sales,Yes,2022,3.65,63413.63,False
347,Female,White,41,,,,,Sales,No,2022,4.71,57121.69,True
348,Female,Asian,27,,,,,HR,No,2023,3.98,69698.79,False
349,Male,White,39,,,,,Marketing,No,2023,3.91,44242.11,False
350,Male,White,39,,,,,IT,No,2022,3.16,56048.41,False
351,Male,Asian,41,,,,,HR,No,2023,2.31,47024.89,False
352,Female,White,30,,,,,Operations,No,2020,3.33,55952.63,False
353,Female,White,38,,,,,Finance,No,2020,4.47,60731.09,False
354,Female,White,27,,,,,IT,No,2023,2.28,65734.19,False
355,Male,White,48,,,,,Operations,No,2023,2.66,59795.4,False
356,Male,White,35,,,,,Operations,No,2022,3.6,51839.66,False
357,Female,White,32,,,,,Marketing,No,2021,2.71,83066.9,True
358,Female,Asian,36,,,,,Sales,No,2023,2.87,83772.57,True
359,Male,Latin,57,,,,,IT,No,2020,3.16,67149.3,False
360,Male,White,52,,,,,Finance,No,2022,2.41,53648.29,False
361,Female,White,65,,,,,IT,No,2023,2.72,80161.27,False
362,Male,White,31,,,,,Operations,No,2020,4.06,43298.64,False
363,Male,White,28,,,,,Sales,Yes,2020,2.45,59978.4,True
364,Male,Middle Eastern,36,,,,,Sales,No,2021,2.22,54558.24,False
365,Male,Latin,32,,,,,Operations,No,2022,3.0,47606.97,False
366,Female,White,32,,,,,HR,Yes,2022,4.09,55935.67,False
367,Male,White,32,,,,,Marketing,No,2021,3.34,52037.42,False
368,Male,White,35,,,,,Finance,No,2021,3.13,65189.82,False
369,Male,White,31,,,,,RD,No,2022,3.54,65407.66,False
370,Male,White,43,,,,,Sales,No,2022,2.1,55680.02,False
371,Female,White,33,,,,,Marketing,No,2023,3.9,54686.92,False
372,Male,White,29,,,,,Sales,No,2023,3.81,61537.27,False
373,Female,White,45,,,,,Marketing,No,2021,3.17,70975.88,True
374,Female,White,31,,,,,Marketing,No,2023,4.3,57751.67,False
375,Male,White,32,,,,,IT,No,2020,2.6,77370.53,False
376,Male,White,37,,,,,Marketing,No,2023,4.4,73787.19,True
377,Male,Asian,34,,,,,Finance,No,2023,3.62,66215.66,False
378,Male,White,25,,,,,Marketing,No,2020,3.23,85817.69,False
379,Male,White,37,,,,,IT,No,2021,3.48,48209.14,False
380,Female,White,47,,,,,Marketing,No,2020,3.41,53270.07,False
381,Male,White,34,,,,,Marketing,No,2023,4.48,91449.48,False
382,Prefer not to say,Asian,25,,,,,IT,Yes,2021,2.64,55026.23,False
383,Female,White,49,,,,,IT,No,2023,2.89,20951.29,False
384,Non-binary/non-conforming,Asian,32,,,,,Sales,No,2020,4.33,55759.93,False
385,Female,White,38,,,,,Sales,No,2020,3.02,61662.17,False
386,Male,White,30,,,,,Operations,No,2023,4.22,25743.3,False
387,Female,White,28,,,,,Finance,No,2022,4.86,78208.31,False
388,Female,Asian,52,,,,,Finance,No,2022,3.18,44955.69,False
389,Male,White,32,,,,,Finance,No,2020,4.05,69928.45,False
390,Male,Latin,33,,,,,IT,No,2020,2.58,61610.28,False
391,Male,White,37,,,,,Sales,No,2022,4.1,45674.73,False
392,Other,Asian,39,,,,,IT,No,2022,3.66,44048.14,True
393,Male,Prefer not to say,39,,,,,Operations,Yes,2023,3.88,50973.76,True
394,Female,White,35,,,,,Operations,No,2023,2.98,74782.27,False
395,Prefer not to say,White,29,,,,,Marketing,No,2022,2.17,62786.93,False
396,Male,Asian,28,,,,,Finance,No,2023,3.9,51454.82,True
397,Male,White,37,,,,,HR,No,2023,1.85,50980.87,False
398,Female,Asian,26,,,,,Marketing,No,2021,3.25,68676.19,False
399,Female,White,38,,,,,HR,No,2023,4.25,80005.98,False
400,Male,Asian,38,,,,,Marketing,No,2020,3.65,74494.04,False
401,Male,White,41,,,,,IT,No,2023,5.0,72386.56,False
402,Male,White,33,,,,,Finance,No,2023,4.32,69347.45,False
403,Female,White,35,,,,,RD,No,2022,2.98,43020.06,False
404,Female,White,43,,,,,IT,No,2020,3.52,56407.7,False
405,Male,Middle Eastern,57,,,,,IT,No,2023,3.46,54742.1,False
406,Female,White,29,,,,,Sales,No,2023,2.23,34607.93,False
407,Male,White,41,,,,,Sales,No,2021,2.75,80855.65,False
